ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
BGS;BGS2023;2024-02-28;11/09/2023;11/09/2023;Consumer Staples;Defensive;2,912;HACK;HACK;231;918;2023;2;59,03561644;875,08512;-0,019114195;-0,079235107;2,53457903;0,011865596;3463,29
MEG;MEG2022;2023-03-01;06/09/2022;06/09/2022;Industrials;Cyclical;2,9;HACK;HACK;90;269;2022;3;33,81369863;1177,08879;-0,040179868;-0,101597448;0,645358843;0,113431509;791,91
CF;CF2015;2016-02-25;02/06/2015;02/06/2015;Materials;Cyclical;2,9;DISC;DISC;173;168;2015;3;16,78082192;73796,09202;0,054941949;0,173448652;1,38597839;0,022450918;12738,9
CABO;CABO2019;2020-02-28;08/08/2019;08/08/2019;Communication Services;Sensitive;2,751;UNKN;OTHER;160;7375;2019;5;50,61643836;6863,88645;0,056659764;0,212201257;2,087283396;0,039745469;3151,83
DXPE;DXPE2020;2021-03-18;09/10/2020;09/10/2020;Industrials;Cyclical;2,55;HACK;HACK;52;2941;2020;6;12,9369863;351,89056;-0,033714958;-0,081230122;1,038904091;0,13745391;868,13
COMP;COMP2023;2024-02-28;21/02/2023;21/02/2023;Real Estate;Cyclical;2,549;UNKN;OTHER;111;79;2023;3;17,79178082;1881,38484;-0,276911144;-0,749475157;1,187543737;0,14384211;1160,3
TTI;TTI2016;2017-03-01;16/02/2016;16/02/2016;Energy;Sensitive;2,4;DISC;DISC;12;10;2016;3;12,22191781;563,4265;-0,12273439;-0,691417976;3,001083405;0,022682701;1315,54
UTI;UTI2011;2011-11-30;13/01/2011;13/01/2011;Consumer Discretionary;Cyclical;2,26;PORT;OTHER;56;98;2011;5;20,6109589;491,0841;0,102557731;0,191661682;0;0,202080674;265,59
ARHS;ARHS2022;2023-03-09;22/07/2022;22/07/2022;Consumer Discretionary;Cyclical;2,18;HACK;HACK;119;628;2022;6;31,75342466;774,51127;0,14663573;0,651584444;1,821602804;0,155808378;931,79
AMPH;AMPH2020;2021-03-15;28/08/2020;28/08/2020;Health Care;Defensive;1,98;HACK;HACK;118;2193;2020;6;34,81369863;964,62345;0,002222624;0,003487395;0,167211028;0,146762859;631,24
CHGG;CHGG2020;2021-02-22;27/04/2020;27/04/2020;Consumer Discretionary;Cyclical;1,941;HACK;HACK;18;700;2020;2;1,156164384;5105,20768;-0,002763344;-0,010204467;2,514273295;0,213148826;2251,26
ZEUS;ZEUS2019;2020-02-21;22/05/2019;22/05/2019;Materials;Cyclical;1,86;UNKN;OTHER;28;28;2019;4;38,55616438;159,9918;0,005936372;0,012505189;0,711443415;0,008839898;649,56
SOND;SOND2022;2023-03-16;14/11/2022;14/11/2022;Consumer Discretionary;Cyclical;1,695;HACK;HACK;177;13875;2022;2;17,6739726;404,72376;-0,105325836;8,309119166;-75,09069033;0,156724783;1573,61
ZEUS;ZEUS2016;2017-03-02;24/03/2016;24/03/2016;Materials;Cyclical;1,66;UNKN;OTHER;6;1705;2016;5;26,76438356;172,99614;-0,001938612;-0,004254312;0,656789929;0,00416316;556,07
WLDN;WLDN2021;2022-03-11;04/06/2021;04/06/2021;Industrials;Cyclical;1,56;HACK;HACK;212;840;2021;6;2,224657534;484,24728;-0,021340088;-0,046964362;0,659710637;0,028449224;394,42
TNDM;TNDM2020;2021-02-24;16/03/2020;16/03/2020;Health Care;Defensive;1,5;HACK;HACK;59;140838;2020;2;8,15890411;3568,0554;-0,047991737;-0,093861673;0,623302985;0,132064516;716,42
MXL;MXL2020;2021-02-11;11/06/2020;11/06/2020;Information Technology;Sensitive;1,42;HACK;HACK;57;2689;2020;5;1,380821918;1487,73856;-0,096428942;-0,252080579;1,003786591;0,145632711;1022,44
