ticker;Event_Date;CAR_10_10;CAR_5_5;CAR_1_1;CAR_0_3;CAR_0_1;CARa_1_1;CAR_1_3
UNM;03-08-2023;0,0701;0,0203;0,0565;0,0129;0,0290;0,0028;-0,0133
UTI;13-01-2011;-0,1042;-0,0046;-0,0026;-0,0347;-0,0201;-0,0046;-0,0191
VBTX;28-12-2020;0,1217;0,0159;-0,0034;0,0056;0,0028;-0,0092;-0,0064
VCYT;03-03-2023;-0,0254;-0,0300;-0,0418;-0,0137;-0,0443;-0,0370;-0,0064
VIR;21-05-2021;0,0783;-0,0069;-0,0495;-0,0101;-0,0570;-0,0583;-0,0113
VOXX;28-09-2020;0,1919;-0,0269;0,0172;0,0019;0,0104;-0,0247;-0,0332
VRA;12-10-2016;-0,1046;-0,0646;0,0001;-0,0287;-0,0084;-0,0019;-0,0221
VRE;28-02-2023;-0,0469;-0,0497;-0,0482;-0,0438;-0,0470;-0,0293;-0,0261
VRNT;11-05-2018;0,0270;-0,0174;-0,0207;-0,0215;-0,0218;-0,0030;-0,0027
VSH;11-06-2020;-0,1598;-0,1169;-0,0402;-0,0055;-0,0025;0,0139;0,0108
VZ;05-02-2024;0,0072;-0,0751;-0,0379;-0,0598;-0,0245;-0,0093;-0,0446
WEC;10-08-2023;-0,0402;-0,0164;0,0045;-0,0187;0,0054;0,0068;-0,0173
WLDN;04-06-2021;-0,0413;0,0361;0,0358;0,0230;0,0172;-0,0031;0,0027
WMK;25-11-2022;-0,0775;-0,0112;0,0002;0,0176;0,0163;0,0009;0,0022
WMT;17-10-2019;-0,0443;-0,0305;-0,0053;-0,0053;-0,0045;-0,0045;-0,0053
WMT;05-04-2024;-0,0230;-0,0066;0,0044;0,0161;0,0000;-0,0020;0,0142
YUM;18-01-2023;-0,0647;-0,0376;-0,0195;-0,0371;-0,0202;-0,0165;-0,0334
ZEUS;24-03-2016;0,1572;0,1254;0,0166;0,0566;0,0380;-0,0193;-0,0008
ZEUS;22-05-2019;-0,1933;-0,1299;-0,0316;-0,0534;-0,0630;-0,0338;-0,0243
